Date,Udemy,Easter,Christmas
10/13/2017,802,0,0
10/14/2017,545,0,0
10/15/2017,667,0,0
10/16/2017,891,0,0
10/17/2017,839,0,0
10/18/2017,743,0,0
10/19/2017,747,0,0
10/20/2017,643,0,0
10/21/2017,563,0,0
10/22/2017,604,0,0
10/23/2017,768,0,0
10/24/2017,951,0,0
10/25/2017,1162,0,0
10/26/2017,893,0,0
10/27/2017,781,0,0
10/28/2017,566,0,0
10/29/2017,574,0,0
10/30/2017,747,0,0
10/31/2017,806,0,0
11/1/2017,697,0,0
11/2/2017,671,0,0
11/3/2017,666,0,0
11/4/2017,639,0,0
11/5/2017,659,0,0
11/6/2017,917,0,0
11/7/2017,852,0,0
11/8/2017,872,0,0
11/9/2017,840,0,0
11/10/2017,694,0,0
11/11/2017,622,0,0
11/12/2017,760,0,0
11/13/2017,846,0,0
11/14/2017,811,0,0
11/15/2017,773,0,0
11/16/2017,885,0,0
11/17/2017,989,0,0
11/18/2017,1014,0,0
11/19/2017,1080,0,0
11/20/2017,1296,0,0
11/21/2017,1302,0,0
11/22/2017,1206,0,0
11/23/2017,1206,0,0
11/24/2017,1192,0,0
11/25/2017,1064,0,0
11/26/2017,1290,0,0
11/27/2017,1704,0,0
11/28/2017,1782,0,0
11/29/2017,1389,0,0
11/30/2017,992,0,0
12/1/2017,770,0,0
12/2/2017,693,0,0
12/3/2017,676,0,0
12/4/2017,860,0,0
12/5/2017,830,0,0
12/6/2017,874,0,0
12/7/2017,795,0,0
12/8/2017,776,0,0
12/9/2017,622,0,0
12/10/2017,676,0,0
12/11/2017,861,0,0
12/12/2017,923,0,0
12/13/2017,811,0,0
12/14/2017,827,0,0
12/15/2017,714,0,0
12/16/2017,616,0,0
12/17/2017,641,0,0
12/18/2017,825,0,0
12/19/2017,847,0,0
12/20/2017,787,0,0
12/21/2017,769,0,0
12/22/2017,629,0,0
12/23/2017,610,0,0
12/24/2017,507,0,0
12/25/2017,561,0,1
12/26/2017,740,0,0
12/27/2017,881,0,0
12/28/2017,860,0,0
12/29/2017,755,0,0
12/30/2017,640,0,0
12/31/2017,655,0,0
1/1/2018,951,0,0
1/2/2018,1496,0,0
1/3/2018,1506,0,0
1/4/2018,1470,0,0
1/5/2018,1405,0,0
1/6/2018,1136,0,0
1/7/2018,1185,0,0
1/8/2018,1440,0,0
1/9/2018,1599,0,0
1/10/2018,1580,0,0
1/11/2018,1779,0,0
1/12/2018,1656,0,0
1/13/2018,1075,0,0
1/14/2018,978,0,0
1/15/2018,1034,0,0
1/16/2018,1079,0,0
1/17/2018,1097,0,0
1/18/2018,1101,0,0
1/19/2018,1133,0,0
1/20/2018,721,0,0
1/21/2018,855,0,0
1/22/2018,1095,0,0
1/23/2018,1054,0,0
1/24/2018,1052,0,0
1/25/2018,995,0,0
1/26/2018,881,0,0
1/27/2018,807,0,0
1/28/2018,840,0,0
1/29/2018,1191,0,0
1/30/2018,1338,0,0
1/31/2018,1169,0,0
2/1/2018,1117,0,0
2/2/2018,875,0,0
2/3/2018,708,0,0
2/4/2018,734,0,0
2/5/2018,850,0,0
2/6/2018,1009,0,0
2/7/2018,947,0,0
2/8/2018,948,0,0
2/9/2018,809,0,0
2/10/2018,631,0,0
2/11/2018,752,0,0
2/12/2018,1031,0,0
2/13/2018,1050,0,0
2/14/2018,962,0,0
2/15/2018,983,0,0
2/16/2018,1013,0,0
2/17/2018,782,0,0
2/18/2018,1476,0,0
2/19/2018,969,0,0
2/20/2018,992,0,0
2/21/2018,974,0,0
2/22/2018,872,0,0
2/23/2018,899,0,0
2/24/2018,587,0,0
2/25/2018,639,0,0
2/26/2018,911,0,0
2/27/2018,909,0,0
2/28/2018,964,0,0
3/1/2018,919,0,0
3/2/2018,792,0,0
3/3/2018,671,0,0
3/4/2018,694,0,0
3/5/2018,893,0,0
3/6/2018,871,0,0
3/7/2018,1003,0,0
3/8/2018,840,0,0
3/9/2018,772,0,0
3/10/2018,626,0,0
3/11/2018,657,0,0
3/12/2018,903,0,0
3/13/2018,925,0,0
3/14/2018,907,0,0
3/15/2018,953,0,0
3/16/2018,909,0,0
3/17/2018,731,0,0
3/18/2018,820,0,0
3/19/2018,1012,0,0
3/20/2018,947,0,0
3/21/2018,885,0,0
3/22/2018,852,0,0
3/23/2018,778,0,0
3/24/2018,606,0,0
3/25/2018,665,0,0
3/26/2018,876,0,0
3/27/2018,929,0,0
3/28/2018,861,0,0
3/29/2018,802,0,0
3/30/2018,730,0,0
3/31/2018,668,0,0
4/1/2018,761,1,0
4/2/2018,1031,0,0
4/3/2018,1003,0,0
4/4/2018,894,0,0
4/5/2018,859,0,0
4/6/2018,740,0,0
4/7/2018,526,0,0
4/8/2018,601,0,0
4/9/2018,856,0,0
4/10/2018,804,0,0
4/11/2018,819,0,0
4/12/2018,787,0,0
4/13/2018,750,0,0
4/14/2018,549,0,0
4/15/2018,754,0,0
4/16/2018,893,0,0
4/17/2018,897,0,0
4/18/2018,860,0,0
4/19/2018,867,0,0
4/20/2018,773,0,0
4/21/2018,585,0,0
4/22/2018,627,0,0
4/23/2018,854,0,0
4/24/2018,869,0,0
4/25/2018,934,0,0
4/26/2018,832,0,0
4/27/2018,780,0,0
4/28/2018,570,0,0
4/29/2018,517,0,0
4/30/2018,675,0,0
5/1/2018,704,0,0
5/2/2018,785,0,0
5/3/2018,792,0,0
5/4/2018,760,0,0
5/5/2018,540,0,0
5/6/2018,557,0,0
5/7/2018,772,0,0
5/8/2018,812,0,0
5/9/2018,879,0,0
5/10/2018,821,0,0
5/11/2018,775,0,0
5/12/2018,683,0,0
5/13/2018,770,0,0
5/14/2018,983,0,0
5/15/2018,968,0,0
5/16/2018,1113,0,0
5/17/2018,983,0,0
5/18/2018,794,0,0
5/19/2018,573,0,0
5/20/2018,623,0,0
5/21/2018,842,0,0
5/22/2018,868,0,0
5/23/2018,931,0,0
5/24/2018,857,0,0
5/25/2018,798,0,0
5/26/2018,674,0,0
5/27/2018,706,0,0
5/28/2018,847,0,0
5/29/2018,999,0,0
5/30/2018,952,0,0
5/31/2018,851,0,0
6/1/2018,828,0,0
6/2/2018,688,0,0
6/3/2018,686,0,0
6/4/2018,943,0,0
6/5/2018,952,0,0
6/6/2018,978,0,0
6/7/2018,849,0,0
6/8/2018,716,0,0
6/9/2018,677,0,0
6/10/2018,672,0,0
6/11/2018,1035,0,0
6/12/2018,890,0,0
6/13/2018,949,0,0
6/14/2018,793,0,0
6/15/2018,616,0,0
6/16/2018,547,0,0
6/17/2018,633,0,0
6/18/2018,900,0,0
6/19/2018,935,0,0
6/20/2018,920,0,0
6/21/2018,884,0,0
6/22/2018,823,0,0
6/23/2018,618,0,0
6/24/2018,733,0,0
6/25/2018,973,0,0
6/26/2018,989,0,0
6/27/2018,1070,0,0
6/28/2018,936,0,0
6/29/2018,761,0,0
6/30/2018,634,0,0
7/1/2018,666,0,0
7/2/2018,891,0,0
7/3/2018,931,0,0
7/4/2018,905,0,0
7/5/2018,983,0,0
7/6/2018,793,0,0
7/7/2018,706,0,0
7/8/2018,793,0,0
7/9/2018,1042,0,0
7/10/2018,1059,0,0
7/11/2018,1090,0,0
7/12/2018,1050,0,0
7/13/2018,989,0,0
7/14/2018,733,0,0
7/15/2018,781,0,0
7/16/2018,1052,0,0
7/17/2018,1137,0,0
7/18/2018,1074,0,0
7/19/2018,958,0,0
7/20/2018,949,0,0
7/21/2018,797,0,0
7/22/2018,865,0,0
7/23/2018,1075,0,0
7/24/2018,1152,0,0
7/25/2018,1117,0,0
7/26/2018,975,0,0
7/27/2018,906,0,0
7/28/2018,754,0,0
7/29/2018,896,0,0
7/30/2018,1183,0,0
7/31/2018,1170,0,0
8/1/2018,1069,0,0
8/2/2018,849,0,0
8/3/2018,743,0,0
8/4/2018,616,0,0
8/5/2018,610,0,0
8/6/2018,791,0,0
8/7/2018,832,0,0
8/8/2018,860,0,0
8/9/2018,815,0,0
8/10/2018,710,0,0
8/11/2018,642,0,0
8/12/2018,652,0,0
8/13/2018,884,0,0
8/14/2018,845,0,0
8/15/2018,811,0,0
8/16/2018,826,0,0
8/17/2018,760,0,0
8/18/2018,604,0,0
8/19/2018,626,0,0
8/20/2018,840,0,0
8/21/2018,879,0,0
8/22/2018,926,0,0
8/23/2018,898,0,0
8/24/2018,862,0,0
8/25/2018,653,0,0
8/26/2018,736,0,0
8/27/2018,932,0,0
8/28/2018,1075,0,0
8/29/2018,992,0,0
8/30/2018,983,0,0
8/31/2018,846,0,0
9/1/2018,624,0,0
9/2/2018,656,0,0
9/3/2018,783,0,0
9/4/2018,896,0,0
9/5/2018,839,0,0
9/6/2018,796,0,0
9/7/2018,748,0,0
9/8/2018,564,0,0
9/9/2018,717,0,0
9/10/2018,1386,0,0
9/11/2018,873,0,0
9/12/2018,811,0,0
9/13/2018,753,0,0
9/14/2018,704,0,0
9/15/2018,585,0,0
9/16/2018,578,0,0
9/17/2018,877,0,0
9/18/2018,922,0,0
9/19/2018,867,0,0
9/20/2018,837,0,0
9/21/2018,771,0,0
9/22/2018,575,0,0
9/23/2018,611,0,0
9/24/2018,837,0,0
9/25/2018,821,0,0
9/26/2018,946,0,0
9/27/2018,743,0,0
9/28/2018,725,0,0
9/29/2018,523,0,0
9/30/2018,565,0,0
10/1/2018,846,0,0
10/2/2018,878,0,0
10/3/2018,805,0,0
10/4/2018,838,0,0
10/5/2018,716,0,0
10/6/2018,580,0,0
10/7/2018,623,0,0
10/8/2018,746,0,0
10/9/2018,889,0,0
10/10/2018,701,0,0
10/11/2018,793,0,0
10/12/2018,689,0,0
10/13/2018,524,0,0
10/14/2018,688,0,0
10/15/2018,817,0,0
10/16/2018,816,0,0
10/17/2018,1017,0,0
10/18/2018,784,0,0
10/19/2018,712,0,0
10/20/2018,625,0,0
10/21/2018,614,0,0
10/22/2018,830,0,0
10/23/2018,904,0,0
10/24/2018,789,0,0
10/25/2018,696,0,0
10/26/2018,759,0,0
10/27/2018,609,0,0
10/28/2018,725,0,0
10/29/2018,863,0,0
10/30/2018,927,0,0
10/31/2018,827,0,0
11/1/2018,856,0,0
11/2/2018,851,0,0
11/3/2018,597,0,0
11/4/2018,721,0,0
11/5/2018,874,0,0
11/6/2018,874,0,0
11/7/2018,821,0,0
11/8/2018,907,0,0
11/9/2018,827,0,0
11/10/2018,624,0,0
11/11/2018,729,0,0
11/12/2018,1027,0,0
11/13/2018,891,0,0
11/14/2018,1006,0,0
11/15/2018,1039,0,0
11/16/2018,946,0,0
11/17/2018,774,0,0
11/18/2018,931,0,0
11/19/2018,1177,0,0
11/20/2018,1206,0,0
11/21/2018,1302,0,0
11/22/2018,1281,0,0
11/23/2018,1574,0,0
11/24/2018,1077,0,0
11/25/2018,1098,0,0
11/26/2018,1656,0,0
11/27/2018,1669,0,0
11/28/2018,1356,0,0
